,,,,,,,
?????,????? ???,?????? ???????,?????? ??????? ??? ????,?????? ?? ???????,?????? ??????? ?-100 ??? ??????,?????? ??????? ??? ???? ?-100 ??? ??????,?????? ?? ??????? ?-100 ??? ??????
21-02-2021,??? ?????????,4,0,16,0.2,0,0.3
21-02-2021,???? ???? 60,1,0,2,0.1,0,0
21-02-2021,??? ??? 60,3,0,14,0.3,0,4.5
22-02-2021,???? ???? 60,0,0,7,0,0,0.2
22-02-2021,??? ??? 60,1,0,6,0.1,0,2
22-02-2021,??? ?????????,1,0,13,0,0,0.3
23-02-2021,??? ?????????,3,0,26,0.1,0,0.5
23-02-2021,??? ??? 60,2,0,23,0.2,0,7.7
23-02-2021,???? ???? 60,1,0,3,0.1,0,0.1
24-02-2021,???? ???? 60,0,0,4,0,0,0.1
24-02-2021,??? ?????????,0,0,20,0,0,0.4
24-02-2021,??? ??? 60,0,0,16,0,0,5.5
25-02-2021,??? ??? 60,5,0,10,0.4,0,3.5
25-02-2021,??? ?????????,5,0,14,0.2,0,0.3
25-02-2021,???? ???? 60,0,0,4,0,0,0.1
26-02-2021,??? ?????????,2,0,15,0.1,0,0.3
26-02-2021,???? ???? 60,0,0,3,0,0,0.1
26-02-2021,??? ??? 60,2,0,12,0.2,0,4.2
27-02-2021,??? ?????????,3,0,22,0.1,0,0.5
27-02-2021,??? ??? 60,3,0,15,0.3,0,5.3
27-02-2021,???? ???? 60,0,0,7,0,0,0.2
28-02-2021,???? ???? 60,0,0,2,0,0,0
28-02-2021,??? ?????????,4,0,14,0.1,0,0.3
28-02-2021,??? ??? 60,4,0,12,0.3,0,4.3
01-03-2021,???? ???? 60,0,0,4,0,0,0.1
01-03-2021,??? ??? 60,3,0,8,0.3,0,2.9
01-03-2021,??? ?????????,3,0,12,0.1,0,0.3
02-03-2021,???? ???? 60,0,0,7,0,0,0.2
02-03-2021,??? ?????????,2,0,18,0.1,0,0.4
02-03-2021,??? ??? 60,2,0,11,0.2,0,4.1
03-03-2021,??? ??? 60,3,0,10,0.3,0,3.8
03-03-2021,???? ???? 60,0,0,2,0,0,0
03-03-2021,??? ?????????,3,0,12,0.1,0,0.3
04-03-2021,??? ?????????,0,0,11,0,0,0.2
04-03-2021,??? ??? 60,0,0,10,0,0,3.8
04-03-2021,???? ???? 60,0,0,1,0,0,0
05-03-2021,??? ?????????,2,0,14,0.1,0,0.3
05-03-2021,???? ???? 60,0,0,2,0,0,0
05-03-2021,??? ??? 60,2,0,12,0.2,0,4.6
06-03-2021,??? ?????????,1,0,13,0,0,0.3
06-03-2021,??? ??? 60,1,0,11,0.1,0,4.2
06-03-2021,???? ???? 60,0,0,2,0,0,0
07-03-2021,??? ??? 60,4,0,5,0.3,0,2
07-03-2021,???? ???? 60,0,0,3,0,0,0.1
07-03-2021,??? ?????????,4,0,8,0.1,0,0.2
08-03-2021,??? ?????????,2,0,15,0.1,0,0.3
08-03-2021,??? ??? 60,2,0,13,0.2,0,5.2
08-03-2021,???? ???? 60,0,0,2,0,0,0
09-03-2021,??? ?????????,1,0,11,0,0,0.3
09-03-2021,???? ???? 60,0,0,2,0,0,0
09-03-2021,??? ??? 60,1,0,9,0.1,0,3.6
10-03-2021,??? ?????????,0,0,14,0,0,0.3
10-03-2021,???? ???? 60,0,0,4,0,0,0.1
10-03-2021,??? ??? 60,0,0,10,0,0,4.1
11-03-2021,??? ??? 60,2,0,12,0.2,0,4.9
11-03-2021,???? ???? 60,0,0,2,0,0,0
11-03-2021,??? ?????????,2,0,14,0.1,0,0.3
12-03-2021,???? ???? 60,0,0,1,0,0,0
12-03-2021,??? ??? 60,0,0,8,0,0,3.3
12-03-2021,??? ?????????,0,0,9,0,0,0.2
13-03-2021,??? ?????????,3,0,9,0.1,0,0.2
13-03-2021,???? ???? 60,0,0,4,0,0,0.1
13-03-2021,??? ??? 60,3,0,5,0.2,0,2.1
14-03-2021,??? ?????????,3,0,19,0.1,0,0.4
